Kanji,Onyomi,English
会う,あう,[1] to meet; to encounter; to see [2] to have an accident; to have a bad experience
青,あお,[1] blue; azure [2] green [3] green light (traffic)
青い,あおい,[1] blue; azure [2] green [3] pale (facial color); gray; grey
赤,あか,"[1] red; crimson; scarlet [2] red-containing colour (e.g. brown, pink, orange) [3] Red (i.e. communist)"
赤い,あかい,[1] red; crimson; scarlet; vermilion [2] Red; communist
明るい,あかるい,[1] light; bright; well-lit; well-lighted [2] bright (colour) [3] cheerful; bright; spirited; sunny (e.g. disposition)
秋,あき,autumn; fall
空く,あく,"[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty"
開く,あく,"[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty"
明く,あく,"[1] to open (e.g. doors) [2] to open (e.g. business, etc.) [3] to be empty"
開ける,あける,"[10] to make (a hole); to open up (a hole) [1] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock [2] to open (for business, etc.)"
明ける,あける,"[10] to make (a hole); to open up (a hole) [1] to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock [2] to open (for business, etc.)"
上げる,あげる,"[10] to increase (price, quality, status, etc.); to develop (talent, skill); to improve [11] to make (a loud sound); to raise (one's voice) [12] to earn (something desirable)"
朝,あさ,[1] morning [2] breakfast
朝ご飯,あさごはん,breakfast
明後日,あさって,[1] day after tomorrow [2] wrong (e.g. direction)
足,あし,"[1] foot; paw; arm (of an octopus, squid, etc.) [2] leg [3] gait"
明日,あした,[1] tomorrow [2] near future
彼処,あそこ,[1] there; over there; that place; yonder; you-know-where [2] genitals; private parts; nether regions [3] that far; that much; that point
遊ぶ,あそぶ,"[1] to play (games, sports); to enjoy oneself; to have a good time [2] to mess about (with alcohol, gambling, philandery, etc.) [3] to be idle; to do nothing; to be unused"
温かい,あたたかい,[1] warm; mild; (pleasantly) hot [2] considerate; kind; genial [3] warm (of a colour); mellow
暖かい,あたたかい,[1] warm; mild; (pleasantly) hot [2] considerate; kind; genial [3] warm (of a colour); mellow
頭,あたま,[10] pair [1] head [2] hair (on one's head)
新しい,あたらしい,new; novel; fresh; recent; latest; up-to-date; modern
彼方,あちら,[1] that way; that direction; over there; yonder [2] that (one) [3] that person
暑い,あつい,"[1] hot; warm; sultry; heated [2] passionate; impassioned; burning (desire, etc.) [3] on everybody's mind; on the radar; du jour; interested (gaze, etc.)"
熱い,あつい,"[1] hot (to the touch) [2] passionate (feelings, etc.); ardent; hot (e.g. gaze) [3] hot (e.g. temper)"
厚い,あつい,[1] thick; deep; heavy [2] kind; cordial; hospitable; warm; faithful [3] serious (of an illness)
後,あと,[1] behind; rear [2] after; later [3] remainder; the rest
貴方,あなた,[1] you [2] dear; honey
兄,あに,[1] older brother; elder brother [2] brother-in-law (spouse's older brother or older sister's husband)
姉,あね,[1] older sister; elder sister [2] Ane
彼の,あの,that; those
,あの,say; well; um; er
,アパート,[1] apartment building; apartment block; apartment house [2] apartment
浴びる,あびる,"[1] to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in [2] to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with"
危ない,あぶない,[1] dangerous; risky; hazardous; perilous; precarious [2] in danger; in jeopardy; critical; grave; at risk [3] uncertain; unreliable; insecure; unsteady; doubtful
甘い,あまい,[1] sweet-tasting; sweet; sugary; sugared [2] fragrant (smelling); sweet (music) [3] lightly salted; light in salt; not spicy
余り,あまり,[1] remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers [2] (not) very; (not) much [3] too much; excessively; overly
雨,あめ,[1] rain [2] rainy day; rainy weather [3] the November suit (in hanafuda)
飴,あめ,"[1] (hard) candy; toffee [2] rice-sugar; sugar made from the starch of rice, potatoes, etc. [3] amber; yellowish-brown"
洗う,あらう,[1] to wash; to cleanse; to rinse [2] to inquire into; to investigate [3] to purify (one's heart)
有る,ある,[1] to be; to exist; to live [2] to have [3] to be located
歩く,あるく,to walk
彼,あれ,[1] that; that thing [2] that person [3] then; that time
,いいえ,[1] no [2] you're welcome; not at all; don't mention it
言う,いう,"[1] to say; to utter; to declare [2] to name; to call [3] to go (e.g. ""the alarm went ping""); to make a noise"
家,いえ,[1] house; residence; dwelling [2] family; household [3] lineage; family name
行く,いく,[10] to continue ...; to go on ...; to (progress) steadily; to gradually ...; to progressively ... [11] to have an orgasm; to come; to cum [12] to trip; to get high; to have a drug-induced hallucination
幾つ,いくつ,[1] how many [2] how old
幾ら,いくら,[1] how much [2] something over; and something; -odd [3] however (much); no matter how
池,いけ,pond
医者,いしゃ,doctor; physician
椅子,いす,[1] chair; seat; stool; bench [2] post; position; seat; office
忙しい,いそがしい,[1] busy; occupied; hectic [2] restless; hurried; fidgety
痛い,いたい,[1] painful; sore [2] cringy; embarrassing
一,いち,[1] one; 1 [2] best [3] first; foremost
一日,いちにち,[1] one day [2] all day (long); the whole day; from morning till night [3] first day of the month
一番,いちばん,[1] number one; first; first place [2] best; most [3] game; round; bout
一緒,いっしょ,[1] (doing) together [2] one lump; one mixture; the same category [3] the same; identical
何時,いつ,[1] when; at what time; how soon [2] normal times; ordinary days
５日,いつか,[1] 5th day of the month [2] five days [3] Itsuka
五つ,いつつ,[1] five [2] five years of age [3] eight o'clock (old time system)
何時も,いつも,[1] always; all the time; at all times [2] never [3] usual; regular; habitual; customary
犬,いぬ,[1] dog (Canis (lupus) familiaris) [2] squealer; rat; snitch; informer; informant; spy [3] loser; asshole
今,いま,[1] now; the present time; just now; soon; immediately [2] another; more
意味,いみ,meaning; significance; sense
妹,いもうと,younger sister
嫌,いや,[1] disliking; not wanting; unwilling (to do); reluctant [2] unpleasant; disagreeable; nasty; horrible; disgusting; undesirable; unwelcome [3] no!; quit it!; stop!
入り口,いりぐち,entrance; entry; gate; approach; mouth
居る,いる,[1] to be (of animate objects); to exist [2] to stay [3] to be ...-ing; to have been ...-ing
要る,いる,to be needed; to be necessary; to be required; to be wanted; to need; to want
入れる,いれる,"[1] to put in; to let in; to take in; to bring in; to insert; to install (e.g. software); to set (a jewel, etc.); to ink in (e.g. tattoo) [2] to admit; to accept; to employ; to hire [3] to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to"
色,いろ,[10] kind; type; variety [1] colour; color; hue; tint; tinge; shade [2] complexion; skin colour; skin color
色々,いろいろ,[1] various; a variety of; all sorts of; many (different) [2] variously; in various ways; in many ways [3] various things; this and that
上,うえ,[10] since ...; now that ...; because ... [11] honorable; venerable; dear [12] emperor; sovereign; shogun; daimyo
後ろ,うしろ,back; behind; rear
薄い,うすい,[1] thin (of an object) [2] pale; light; faint [3] watery; thin; diluted
歌,うた,[1] song; singing [2] classical Japanese poem (esp. tanka) [3] modern poetry
歌う,うたう,"[1] to sing [2] to sing of (love, beauty, etc.) in a poem; to express in the form of a poem; to recite (a poem)"
生まれる,うまれる,to be born
海,うみ,sea; ocean; waters
売る,うる,"[1] to sell [2] to betray; to sell out (one's friend, country, etc.) [3] to make (oneself) known; to establish (a reputation) for oneself"
煩い,うるさい,[1] noisy; loud [2] annoying; troublesome; tiresome; persistent; importunate [3] fussy; finicky; picky; particular; nagging; fastidious; bossy
上着,うわぎ,[1] coat; jacket; outerwear [2] top; upper-body garment
絵,え,"[1] picture; drawing; painting; sketch [2] image (TV, film, etc.); picture; footage"
映画,えいが,movie; film; motion picture
映画館,えいがかん,movie theatre; movie theater; cinema
英語,えいご,English (language)
,ええ,[1] yes; that is correct; right [2] um; errr; well [3] huh?
駅,えき,[1] railway station; train station [2] staging post on a highway (in pre-modern Japan) [3] counter for railway stations and bus stations
,エレベーター,[1] elevator; lift [2] elevator
鉛筆,えんぴつ,pencil
美味しい,おいしい,"[1] good(-tasting); nice; delicious; tasty [2] attractive (offer, opportunity, etc.); appealing; convenient; favorable; desirable; profitable"
多い,おおい,[1] many; numerous; a lot [2] large amount of; large quantity of; a lot; much [3] frequent; common
大きい,おおきい,[1] big; large; great [2] loud [3] extensive; spacious
大きな,おおきな,big; large; great
大勢,おおぜい,[1] crowd of people; great number of people [2] in great numbers
お母さん,おかあさん,[1] mother; mom; mum; ma [2] wife [3] you (of an elderly person older than the speaker); she; her
お菓子,おかし,confections; sweets; candy; cake
お金,おかね,money
起きる,おきる,[1] to get up; to rise; to blaze up (fire) [2] to wake up; to be awake; to stay awake [3] to occur (usu. of unfavourable incidents); to happen; to take place
置く,おく,[10] to leave something in a certain state; to keep something in a certain state [1] to put; to place [2] to leave (behind)
奥さん,おくさん,wife; your wife; his wife; married lady; madam
お酒,おさけ,alcohol; sake
お皿,おさら,plate; dish
教える,おしえる,[1] to teach; to instruct [2] to tell; to inform; to show [3] to preach
押す,おす,[10] to fall behind schedule [1] to push; to thrust; to shove [2] to press (down); to push (e.g. a button); to exert pressure on
遅い,おそい,[1] slow [2] late [3] too late
お茶,おちゃ,[1] tea (esp. green or barley) [2] tea break (at work) [3] tea ceremony
お手洗い,おてあらい,toilet; restroom; lavatory; bathroom
お父さん,おとうさん,[1] father; dad; papa; pa; pop; daddy; dada [2] husband [3] you (of an elderly person older than the speaker); he; him
弟,おとうと,[1] younger brother; little brother; kid brother [2] brother-in-law (spouse's younger brother or younger sister's husband) [3] pupil; apprentice
男,おとこ,[1] man; male [2] fellow; guy; chap; bloke [3] male lover; boyfriend; man
男の子,おとこのこ,[1] boy; son; baby boy [2] young man
一昨日,おととい,day before yesterday
一昨年,おととし,year before last
大人,おとな,adult; grown-up
お腹,おなか,belly; abdomen; stomach
同じ,おなじ,[1] same; identical; equal; alike; equivalent [2] anyway; in any case; if one must ...; if one has to ...; as long as ...
お兄さん,おにいさん,[1] older brother; elder brother [2] young man; buddy; fella; laddie
お姉さん,おねえさん,[1] older sister; elder sister [2] young lady [3] miss
お祖母さん,おばあさん,[1] grandmother [2] old woman; female senior citizen
伯母さん,おばさん,aunt
お風呂,おふろ,bath
お弁当,おべんとう,bento; Japanese box lunch
覚える,おぼえる,[1] to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember [2] to learn; to pick up; to acquire [3] to feel
お巡りさん,おまわりさん,police officer
重い,おもい,[1] heavy; weighty [2] heavy (feeling); depressed; gloomy; blue; uneasy [3] slow; sluggish; lumbering; ponderous; clumsy
思う,おもう,[1] to think; to consider; to believe [6] to feel; to be (in a state of mind); to desire; to want
面白い,おもしろい,[1] interesting; fascinating; intriguing; enthralling [2] amusing; funny; comical [3] enjoyable; fun; entertaining; pleasant; agreeable
泳ぐ,およぐ,[1] to swim [2] to struggle through (a crowd) [3] to make one's way through the world; to get along (in life)
下りる,おりる,[1] to descend (e.g. a mountain); to go down; to come down [2] to alight (e.g. from bus); to get off; to disembark; to dismount [3] to step down; to retire; to give up; to quit; to fold
降りる,おりる,[1] to descend (e.g. a mountain); to go down; to come down [2] to alight (e.g. from bus); to get off; to disembark; to dismount [3] to step down; to retire; to give up; to quit; to fold
終わる,おわる,[1] to end; to come to an end; to finish; to close; to be over [2] to finish; to complete; to conclude [3] to finish doing
音楽,おんがく,music
女,おんな,[1] woman; female [2] female lover; girlfriend; mistress; (someone's) woman
女の子,おんなのこ,[1] girl; daughter; baby girl [2] young woman
か行,うる,[1] to be able to ...; can ... [2] to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain
嬉しい,うれしい,[1] happy; glad; pleased; delighted; overjoyed [2] joyful; delightful; gratifying; pleasant
会社,かいしゃ,[1] company; corporation; firm [2] one's workplace
階段,かいだん,stairs; stairway; staircase
買い物,かいもの,shopping; purchased goods
買う,かう,"[1] to buy; to purchase [2] to value (highly); to think highly of; to have a high opinion of; to appreciate; to recognize [3] to incur (someone's anger, displeasure, etc.); to elicit (e.g. sneers); to invite (e.g. scorn); to evoke; to arouse; to win (someone's favour)"
返す,かえす,[1] to return (something); to restore; to put back [2] to turn over; to turn upside down; to overturn [3] to pay back; to retaliate; to reciprocate
帰る,かえる,"[1] to return; to come home; to go home; to go back [2] to leave (of a guest, customer, etc.) [3] to get home; to get to home plate"
掛かる,かかる,"[10] to be fastened [11] to be covered (e.g. with dust, a table-cloth, etc.) [12] to be caught in"
鍵,かぎ,"[1] key [2] lock [3] key (to a problem, success, etc.); clue"
書く,かく,[1] to write; to compose; to pen [2] to draw; to paint
掛ける,かける,[10] to secure (e.g. lock) [11] to take a seat; to sit; to rest (something on something else); to support (something on something else) [12] to bind
傘,かさ,[1] umbrella; parasol [2] something shaped like an umbrella or a conical hat; shade (of a lamp); mushroom cap; pileus
貸す,かす,[1] to lend; to loan [2] to rent out; to hire out [3] to hand (over); to give
風,かぜ,[1] wind; breeze; draught; draft [2] manner; behaviour; behavior [3] cold; influenza
風邪,かぜ,(common) cold; influenza; flu; ague; inflammatory respiratory system illness (in general)
家族,かぞく,family
方,かた,[1] direction; way [2] person; lady; gentleman [3] method of; manner of; way of
,カップ,"cup (drinking vessel, measure, brassiere, prize, etc.)"
家庭,かてい,home; household; family; hearth
角,かど,"[1] corner; edge [2] (street) corner; turning [3] rough edges (of one's character, words, etc.); abrasiveness; harshness; sharpness"
鞄,かばん,bag; satchel; briefcase; basket
花瓶,かびん,(flower) vase
紙,かみ,paper
,カメラ,camera
火曜日,かようび,Tuesday
辛い,からい,[1] spicy; hot [2] salty [3] harsh (criticism); severe (punishment); strict
体,からだ,[1] body [2] torso; trunk [3] build; physique; frame; figure
借りる,かりる,"[1] to borrow [2] to rent; to hire [3] to make use of (another's help, wisdom, etc.); to obtain; to receive"
軽い,かるい,"[1] light (i.e. not heavy); feeling light (i.e. offering little resistance, moving easily) [2] light (i.e. of foot); effortless; nimble; agile [3] non-serious; minor; unimportant; trivial"
,カレンダー,[1] calendar [2] calender (machine for flattening things)
,カレー,[1] curry (esp. Japanese curry) [2] rice and curry
川,かわ,[1] river; stream [2] River; the ... river [3] Gawa
可愛い,かわいい,[1] cute; adorable; charming; lovely; pretty [2] dear; precious; darling; pet [3] innocent; childlike; childish; lovable
漢字,かんじ,kanji; Chinese character
外国,がいこく,foreign country
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese
学生,がくせい,student (esp. a university student)
学校,がっこう,[1] school [2] Gakkou
木,き,[1] tree; shrub; bush [2] wood; timber [3] wooden clappers (signalling the beginning or end of a performance)
黄色,きいろ,yellow; amber
黄色い,きいろい,[1] yellow [2] high-pitched (voice); shrill
消える,きえる,"[1] to disappear; to vanish; to go out of sight; to go away; to become lost [2] to go out (of a fire, light, etc.); to die; to turn off (e.g. of a TV screen) [3] to fade (of a feeling, impression, etc.); to vanish (e.g. of hope)"
聞く,きく,[1] to hear [2] to listen (e.g. to music) [3] to ask; to enquire; to query
聴く,きく,[1] to hear [2] to listen (e.g. to music) [3] to ask; to enquire; to query
北,きた,[1] north [2] the North; northern territories [3] North Korea
汚い,きたない,"[1] dirty; filthy; foul; unclean [2] disordered; messy; untidy; poor (e.g. handwriting) [3] indecent (language, etc.); dirty; vulgar; coarse"
喫茶店,きっさてん,coffee shop; tearoom; coffee lounge; coffeehouse; cafe
切手,きって,stamp (postage); merchandise certificate
切符,きっぷ,ticket
昨日,きのう,yesterday
今日,きょう,[1] today; this day [2] these days; recently; nowadays
教室,きょうしつ,[1] classroom; lecture room [2] department (in a university) [3] class; lessons; course
兄弟,きょうだい,[1] siblings; brothers and sisters [2] brothers [3] siblings-in-law; brothers-in-law; sisters-in-law
去年,きょねん,last year
嫌い,きらい,[1] disliked; hated; disagreeable [2] tendency; smack (of); touch (of) [3] distinction; discrimination
切る,きる,"[10] to shake off (water, etc.); to let drip-dry; to let drain [11] to cross; to traverse [12] to criticize sharply"
着る,きる,"[1] to wear (from the shoulders down); to put on [2] to take (the blame, responsibility); to bear"
綺麗,きれい,[1] pretty; lovely; beautiful; fair [2] clean; clear; pure; tidy; neat [3] completely; entirely
,キロ,[1] kilo-; 1000 [2] kilogram; kilogramme [3] kilometre; kilometer
,キログラム,kilogram; kilogramme
,キロメートル,kilometer; kilometre
金曜日,きんようび,Friday
,ギター,guitar
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
銀行,ぎんこう,bank; banking institution
薬,くすり,"[1] medicine; pharmaceuticals; (legal) drugs; pill; ointment; salve [2] efficacious chemical (gunpowder, pesticide, etc.) [3] (pottery) glaze"
下さい,ください,[1] please (give me) [2] please (do for me)
果物,くだもの,fruit
口,くち,"[10] kind; sort; type [11] opening (i.e. beginning) [12] counter for mouthfuls, shares (of money), stove burners, and swords"
靴,くつ,shoe; shoes; boots; footwear; footgear
靴下,くつした,socks; sock; stockings; stocking
国,くに,[1] country; state [2] region [3] national government; central government
曇り,くもり,"[1] cloudiness; cloudy weather [2] fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness [3] gloom; dejection"
曇る,くもる,[1] to get cloudy; to cloud over; to become overcast [2] to cloud up; to fog up; to mist up; to become dim [3] to be gloomy; to be clouded (expression); to be downcast
暗い,くらい,[1] dark; gloomy; murky [2] depressed; dispirited; down in the dumps; dark (mood) [3] dark (in colour); dull
,クラス,[1] class [2] Kras (Slovenia); Crass
来る,くる,[1] to come (spatially or temporally); to approach; to arrive [2] to come back; to do ... and come back [3] to come to be; to become; to get; to grow; to continue
車,くるま,[1] car; automobile; vehicle [2] wheel; castor; caster
黒,くろ,[1] black [2] black stone [3] guilt; guilty person
,グラム,gram; gramme
警官,けいかん,police officer; policeman; constable
今朝,けさ,this morning
消す,けす,"[1] to erase; to rub out; to rub off; to cross out; to delete [2] to turn off (a light, TV, heater, etc.); to switch off [3] to extinguish (a fire, candle, etc.); to put out"
結構,けっこう,"[1] splendid; nice; wonderful; delightful; lovely; excellent; fine [2] sufficient; satisfactory; enough; fine; all right; OK [3] not needing (any more of something); (already) having enough; fine (as in ""I'm fine""); no, thank you"
結婚,けっこん,marriage
月曜日,げつようび,Monday
玄関,げんかん,entrance; front door; entryway; entranceway; entry hall; vestibule; porch; foyer; mud room
元気,げんき,[1] lively; full of spirit; energetic; vigorous; vital; spirited [2] healthy; well; fit; in good health
公園,こうえん,(public) park
交差点,こうさてん,crossing; intersection
紅茶,こうちゃ,black tea
交番,こうばん,"[1] police box; koban; small neighborhood police station [2] alternation [3] alternating (current, stress, etc.)"
声,こえ,[1] voice [2] singing (of a bird); chirping (of an insect); hoot [3] voice; opinion (as expressed in words); view; wish; attitude; will
此処,ここ,[1] here; this place [2] this point; here; now [3] these past ... (e.g. three years); these last ...
９日,ここのか,[1] 9th day of the month [2] nine days [3] Kokonoka
九つ,ここのつ,[1] nine [2] nine years of age [3] twelve o'clock (old time system)
答える,こたえる,to answer; to reply
此方,こちら,[1] this way; this direction [2] here [3] this (one)
,コップ,[1] glass (drinking vessel); tumbler [2] cups (suit)
今年,ことし,this year
言葉,ことば,[1] language; dialect [2] word; phrase; expression; term [3] speech; (manner of) speaking; (use of) language
子供,こども,child; children
此の,この,"[1] this [2] last (couple of years, etc.); these; past; this [3] you (as in ""you liar"")"
,コピー,[1] copy; photocopy [2] book jacket blurb [3] (advertising) slogan
困る,こまる,[1] to be troubled; to have difficulty; to be in a fix; to be at a loss; to be stumped; to be embarrassed [2] to be bothered; to be inconvenienced; to be annoyed [3] to be badly off; to be hard up; to be in straitened circumstances
此れ,これ,[1] this; this one [2] this person [3] now; this point (in time)
今月,こんげつ,this month
今週,こんしゅう,this week
,こんな,this sort of; this kind of; like this; such
今日,こんにち,[1] today; this day [2] these days; recently; nowadays
今晩,こんばん,tonight; this evening
,コート,[1] coat [2] coating
,コーヒー,coffee
五,ご,five; 5
午後,ごご,afternoon; p.m.
午前,ごぜん,morning; a.m.
ご飯,ごはん,[1] cooked rice [2] meal
